,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Colorvision - 2 lenses - Blue Gray,https://eyewa.com/ae-en/colorvision-pack-of-2-blue-gray.html,13033,no,180,,,,Colorvision,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Colorvision - 2 lenses - Blue,https://eyewa.com/ae-en/colorvision-pack-of-2-blue.html,13033,no,180,,,,Colorvision,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Sama Lenses - Daily Collection - 10 lenses - Carbon Gray,https://eyewa.com/ae-en/sama-lenses-daily-collection-10-lenses-carbon-gray.html,13025,no,120,,,,Sama Lenses,,,,,,,,,,,,,14.2 mm,8.6,69%,,,,Daily,Color Contact Lenses,Beauty,Pack of 10 lenses
Lensme - 2 lenses - Lime,https://eyewa.com/ae-en/lensme-pack-of-2-lime.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Honey,https://eyewa.com/ae-en/lensme-pack-of-2-honey.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Mist,https://eyewa.com/ae-en/lensme-pack-of-2-mist.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Caramel,https://eyewa.com/ae-en/lensme-pack-of-2-caramel.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Caffe,https://eyewa.com/ae-en/lensme-pack-of-2-caffe.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Cloud,https://eyewa.com/ae-en/lensme-pack-of-2-cloud.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme - 2 lenses - Snowy,https://eyewa.com/ae-en/lensme-pack-of-2-snowy.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
