,product_url,product_id,discounted,actualPrice,Frame Finish,Lens Finish,Lens Color,Brand,Frame Color,Frame Material,Frame Shape,Frame Size,Frame Type,Lens Size,Bridge Size,Gender,Type,Virtual TryOn,Frame Width,discountedPrice,Diameter,Base Curve,Water Content,Oxygen Permeability,Lens Material,UV Protection,Contact Lens Replacement,Contact Lens Type,Contact Lens Use,Package Size
Lensme 2019 Collection - 2 lenses - Marble,https://eyewa.com/ae-en/lensme-2019-collection-pack-of-2-marble.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - Miami Blue,https://eyewa.com/ae-en/anesthesia-usa-pack-of-2-miami-blue.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Layala Lenses - 2 lenses - Chestnut Brown,https://eyewa.com/ae-en/layala-lenses-pack-of-2-chestnut-brown.html,13697,no,149,,,,Layala,,,,,,,,,,,,,"14.0 mm, 14.2 mm, 14.5 mm",8.6,38%,,,,3 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Lensme 2019 Collection - 2 lenses - Malakite,https://eyewa.com/ae-en/lensme-2019-collection-pack-of-2-malakite.html,12745,no,150,,,,Lensme,,,,,,,,,,,,,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Crema,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-crema.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Castano,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-castano.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Arena,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-arena.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - L.A. Vanilla,https://eyewa.com/ae-en/anesthesia-usa-2-lenses-l-a-vanilla.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - L.A. Mocha,https://eyewa.com/ae-en/anesthesia-usa-2-lenses-la-mocha.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - USA - 2 lenses - L.A. Cinnamon,https://eyewa.com/ae-en/anesthesia-usa-2-lenses-l-a-cinnamon.html,12692,yes,221,,,,Anesthesia,,,,,,,,,,,,162,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Anesthatic - 2 lenses - Gold,https://eyewa.com/ae-en/anesthesia-anesthatic-pack-of-2-gold.html,12678,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
Anesthesia - Addict - 2 lenses - Marron,https://eyewa.com/ae-en/anesthesia-addict-pack-of-2-marron.html,12671,yes,175,,,,Anesthesia,,,,,,,,,,,,152,14.2 mm,8.6,38%,,,,6 months,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Frutti - 2 lenses - Nocciola,https://eyewa.com/ae-en/la-loggia-frutti-pack-of-2-nocciola.html,12436,no,120,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Soiree - 2 lenses - Topazio,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-topazio.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses - Honey,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2-honey.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colorblends - 2 lenses - Brown,https://eyewa.com/ae-en/freshlook-colorblends-pack-of-2-brown.html,11945,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,69%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
FreshLook Colors - Pack of 2 - Blue,https://eyewa.com/ae-en/freshlook-colors-pack-of-2-blue.html,11944,yes,140,,,,FreshLook,,,,,,,,,,,,113,14.5 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Air Optix Colors - 2 lenses - Honey,https://eyewa.com/ae-en/air-optix-colors-pack-of-2-honey.html,11943,no,200,,,,Air Optix,,,,,,,,,,,,,14.2 mm,8.6,33%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Colorvision - 2 lenses - Hazel,https://eyewa.com/ae-en/colorvision-pack-of-2-hazel.html,13033,no,180,,,,Colorvision,,,,,,,,,,,,,14.2 mm,8.6,55%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Diamonds - 2 lenses - Glitter Gray,https://eyewa.com/ae-en/bella-diamonds-pack-of-2-glitter-gray.html,11912,no,140,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Diamonds - 2 lenses - Gray Green,https://eyewa.com/ae-en/bella-diamonds-pack-of-2-gray-green.html,11912,no,140,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Elite - 2 lenses - Lavender Gray,https://eyewa.com/ae-en/bella-elite-pack-of-2-lavender-gray.html,11911,no,159,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Glow - 2 lenses - Gray Caramel,https://eyewa.com/ae-en/bella-glow-pack-of-2-gray-caramel.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Glow - 2 lenses - Luminous Pearl,https://eyewa.com/ae-en/bella-glow-pack-of-2-luminous-pearl.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Glow - 2 lenses - Navy Gray,https://eyewa.com/ae-en/bella-glow-pack-of-2-navy-gray.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Glow - 2 lenses - Radiant Gray,https://eyewa.com/ae-en/bella-glow-pack-of-2-radiant-gray.html,11910,no,149,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
La Loggia Soiree - 2 lenses - Zaffiro,https://eyewa.com/ae-en/la-loggia-soiree-pack-of-2-zaffiro.html,12429,no,220,,,,La Loggia,,,,,,,,,,,,,14.2 mm,8.6,60%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
Bella Contour - 2 lenses - Platinum,https://eyewa.com/ae-en/bella-contour-pack-of-2-platinum.html,11913,no,86,,,,Bella,,,,,,,,,,,,,14.5 mm,8.6,38%,,,,Monthly,Color Contact Lenses,Beauty,Pack of 2 lenses
The Book Club SLACK CUTIE,https://eyewa.com/ae-en/the-book-club-slack-cutie-tbc202311100.html,61374,yes,259,Glossy,,Clear,The Book Club,Rose Gold,Plastic,Square,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Blue Light Glasses,No,,149,,,,,,,,,,
ROAV Athena,https://eyewa.com/ae-en/roav-athena-5003-11-61.html,13479,yes,639,Matte,Full,,ROAV,Silver,Metal,Cat Eye,Wide (>139 mm),,55 mm,19 mm,Women,Sunglasses,No,145 mm,383,,,,,,,,,,
Mr. Boho HAYES,https://eyewa.com/ae-en/mr-boho-hayes-vt1-11-11.html,13115,yes,319,,,,Mr. Boho,Tortoise,Plastic,Round,Wide (>139 mm),,44 mm,23 mm,Women,Sunglasses,,145 mm,223,,,,,,,,,,
For Art's Sake Vacay Black,https://eyewa.com/ae-en/for-arts-sake-vacay-black-ka1.html,55727,yes,729,Matte,Gradient,,For Art's Sake,Black,Plastic,Cat Eye,Wide (>139 mm),,58 mm,19 mm,Women,Sunglasses,No,145 mm,656,,,,,,,,,,
ROAV Atlas,https://eyewa.com/ae-en/roav-atlas-8101-11-14.html,57829,yes,639,Matte,Full,Gray,ROAV,Silver,Metal,Aviator,Wide (>139 mm),,59 mm,19 mm,"Men, Women",Sunglasses,No,142 mm,383,,,,,,,,,,
For Art's Sake Xtra Champagne,https://eyewa.com/ae-en/for-arts-sake-xtra-champagne-kh2.html,55735,yes,799,Matte,Gradient,,For Art's Sake,Brown,Metal,Mask,Wide (>139 mm),,55 mm,13 mm,Women,Sunglasses,No,149 mm,719,,,,,,,,,,
Spectus MARYAN Blue Light,https://eyewa.com/ae-en/spectus-maryan-blue-light-000149-1313.html,58718,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,50 mm,18 mm,Women,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Babamio ROCKY Blue Light- Kids Ages 9-14,https://eyewa.com/ae-en/babamio-rocky-blue-light-kids-ages-9-14-000135-0209.html,59810,yes,299,Glossy,,Clear,Babamio,Green,Acetate,Rectangle,Narrow (< 131 mm),Full Rim,47 mm,15 mm,Kids,Blue Light Glasses,No,126 mm,149,,,,,,,,,,
Spectus BAILEY Blue Light,https://eyewa.com/ae-en/spectus-bailey-blue-light-000165-0400.html,60310,yes,299,Glossy,,Clear,Spectus,Gray,Acetate,Square,Normal (132-138 mm),Full Rim,52 mm,17 mm,"Men, Women",Blue Light Glasses,Yes,134 mm,149,,,,,,,,,,
Spectus STANLEY Blue Light,https://eyewa.com/ae-en/spectus-stanley-blue-light-000161-1300.html,58736,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Square,Wide (>139 mm),Full Rim,54 mm,17 mm,Men,Blue Light Glasses,Yes,145 mm,149,,,,,,,,,,
Spectus JEREMY Blue Light,https://eyewa.com/ae-en/spectus-jeremy-blue-light-000156-1300.html,58726,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Rectangle,Wide (>139 mm),Full Rim,51 mm,18 mm,Men,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus BRANDON Blue Light,https://eyewa.com/ae-en/spectus-brandon-blue-light-000153-1302.html,58723,yes,299,Glossy,,Clear,Spectus,Black,Acetate,Square,Wide (>139 mm),Full Rim,50 mm,17 mm,Men,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus DANA Blue Light,https://eyewa.com/ae-en/spectus-dana-blue-light-000146-2600.html,58713,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,55 mm,17 mm,Women,Blue Light Glasses,,145 mm,149,,,,,,,,,,
Spectus MILANI Blue Light,https://eyewa.com/ae-en/spectus-milani-blue-light-000145-2400.html,58709,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Blue Light Glasses,No,145 mm,149,,,,,,,,,,
Spectus ROSANA Blue Light,https://eyewa.com/ae-en/spectus-rosana-blue-light-000142-0100.html,58705,yes,299,Glossy,,Clear,Spectus,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,53 mm,17 mm,Women,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus DARREN Blue Light,https://eyewa.com/ae-en/spectus-darren-blue-light-000138-1302.html,58699,yes,299,Glossy,,Clear,Spectus,Blue,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,16 mm,Women,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Spectus NORA Blue Light,https://eyewa.com/ae-en/spectus-nora-blue-light-000137-0400.html,58696,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,52 mm,16 mm,Women,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus MOLLY Blue Light,https://eyewa.com/ae-en/spectus-molly-blue-light-000133-0100.html,58687,yes,299,Glossy,,Clear,Spectus,Clear,Acetate,Rectangle,Wide (>139 mm),Full Rim,45 mm,19 mm,Women,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus RIVER Blue Light,https://eyewa.com/ae-en/spectus-river-blue-light-000108-0400.html,58515,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Square,Wide (>139 mm),Full Rim,52 mm,20 mm,Men,Blue Light Glasses,No,142 mm,149,,,,,,,,,,
Spectus BROOKLYN Blue Light,https://eyewa.com/ae-en/spectus-brooklyn-blue-light-000106-0400.html,58511,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Square,Wide (>139 mm),Full Rim,56 mm,16 mm,Men,Blue Light Glasses,Yes,145 mm,149,,,,,,,,,,
Spectus DALLAS Blue Light,https://eyewa.com/ae-en/catalog/product/view/id/58506/s/spectus-dallas-blue-light-000103-0400/category/518/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Megs LIZZY Yellow Blue Light,https://eyewa.com/ae-en/megs-lizzy-yellow-blue-light-mg444.html,58438,yes,299,Glossy,,Clear,Megs,Yellow,Acetate,Cat Eye,Wide (>139 mm),Full Rim,55 mm,18 mm,Women,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Megs LIZZY Pink Blue Light,https://eyewa.com/ae-en/megs-lizzy-pink-blue-light-mg444.html,58436,yes,299,Glossy,,Clear,Megs,Pink,Acetate,Cat Eye,Wide (>139 mm),Full Rim,55 mm,18 mm,Women,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Megs LIZZY Black Blue Light,https://eyewa.com/ae-en/megs-lizzy-black-blue-light-mg444.html,58435,yes,299,Glossy,,Clear,Megs,Black,Acetate,Cat Eye,Wide (>139 mm),Full Rim,55 mm,18 mm,Women,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Spectus WILFRED Blue Light ,https://eyewa.com/ae-en/spectus-wilfred-tf1475-54-003.html,58422,yes,299,Glossy,,Clear,Spectus,Brown,Metal + Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,17 mm,Men,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Spectus BERNARD Blue Light ,https://eyewa.com/ae-en/spectus-bernard-tf1370-54-002.html,58412,yes,299,Glossy,,Clear,Spectus,Gray,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,20 mm,Men,Blue Light Glasses,,143 mm,149,,,,,,,,,,
The Book Club FAN OF SEEN LABELS,https://eyewa.com/ae-en/the-book-club-fan-of-seen-labels-tbc202310200.html,58365,yes,239,Glossy,,Clear,The Book Club,Blue,Plastic,Round,Wide (>139 mm),Full Rim,47 mm,22 mm,Men,Blue Light Glasses,No,145 mm,149,,,,,,,,,,
The Book Club THE LAST EPIPHANIES,https://eyewa.com/ae-en/the-book-club-the-last-epiphanies-tbc202310000.html,58358,yes,239,Glossy,,Clear,The Book Club,Green,Plastic,Cat Eye,Wide (>139 mm),Full Rim,47 mm,22 mm,Women,Blue Light Glasses,No,144 mm,149,,,,,,,,,,
Spectus BRODY Blue Light ,https://eyewa.com/ae-en/spectus-brody-tf1324-54-007.html,58256,yes,299,Glossy,,Clear,Spectus,Brown,Acetate,Rectangle,Wide (>139 mm),Full Rim,54 mm,16 mm,Men,Blue Light Glasses,,145 mm,119,,,,,,,,,,
ROAV Freddy,https://eyewa.com/ae-en/roav-freddy-8205-12-14.html,57840,yes,639,Matte,Full,Gray,ROAV,Gray,Metal,Rectangle,Wide (>139 mm),,54 mm,19 mm,"Men, Women",Sunglasses,No,145 mm,383,,,,,,,,,,
Mr. Wonderful Black Round,https://eyewa.com/ae-en/mr-wonderful-black-round-mw29007512.html,55615,yes,309,Glossy,Full,,Mr. Wonderful,Black,Plastic,Round,Wide (>139 mm),,47 mm,28 mm,Women,Sunglasses,No,140 mm,216,,,,,,,,,,
Pride Ilaria,https://eyewa.com/ae-en/pride-ilaria-303-bk-sun.html,55203,yes,729,Glossy,Gradient,,Pride,Silver,Metal,Cat Eye,Wide (>139 mm),,60 mm,17 mm,Women,Sunglasses,No,140 mm,510,,,,,,,,,,
Urban Owl Carol,https://eyewa.com/ae-en/urban-owl-carol-c1-purple.html,13267,yes,579,Glossy,Full,,Urban Owl,Purple,Plastic,Oval,Wide (>139 mm),,52 mm,20 mm,Women,Sunglasses,,140 mm,347,,,,,,,,,,
For Art's Sake Casino,https://eyewa.com/ae-en/for-arts-sake-casino-jc1-gold.html,13225,yes,809,Glossy,Full,,For Art's Sake,Gold,Metal,Square,Wide (>139 mm),,62 mm,16 mm,Women,Sunglasses,No,145 mm,728,,,,,,,,,,
Spectus BRYSON Blue Light,https://eyewa.com/ae-en/spectus-bryson-blue-light-000186-1300.html,60632,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Rectangle,Wide (>139 mm),Full Rim,39 mm,15 mm,Men,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
Spectus SHANE Blue Light,https://eyewa.com/ae-en/spectus-shane-blue-light-tf1325-52-002.html,60623,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,52 mm,20 mm,Men,Blue Light Glasses,No,145 mm,149,,,,,,,,,,
Babamio POPPY Blue Light - Kids Ages 5-8,https://eyewa.com/ae-en/babamio-poppy-blue-light-glasses-kids-ages-5-8-000125-0120.html,60354,yes,299,Matte,,Clear,Babamio,Brown,Acetate,Cat Eye,Narrow (< 131 mm),Full Rim,47 mm,15 mm,Kids,Blue Light Glasses,No,130 mm,149,,,,,,,,,,
Spectus BLAIRE Blue Light,https://eyewa.com/ae-en/spectus-blaire-blue-light-000227-0112.html,59800,yes,299,Glossy,,Clear,Spectus,Rose Gold,Metal,Rectangle,Normal (132-138 mm),Full Rim,50 mm,18 mm,"Men, Women",Blue Light Glasses,Yes,134 mm,149,,,,,,,,,,
Spectus TEAGAN Blue Light,https://eyewa.com/ae-en/spectus-teagan-blue-light-000220-0100.html,59790,yes,299,Glossy,,Clear,Spectus,Black,Metal,Round,Normal (132-138 mm),Full Rim,51 mm,19 mm,"Men, Women",Blue Light Glasses,Yes,138 mm,149,,,,,,,,,,
Spectus REAGAN Blue Light,https://eyewa.com/ae-en/spectus-reagan-blue-light-000217-1200.html,59784,yes,299,Glossy,,Clear,Spectus,Silver,Metal,Hexagon,Normal (132-138 mm),Full Rim,52 mm,18 mm,"Men, Women",Blue Light Glasses,Yes,138 mm,149,,,,,,,,,,
Spectus VALENTINA Blue Light,https://eyewa.com/ae-en/spectus-valentina-blue-light-000211-0100.html,59773,yes,299,Glossy,,Clear,Spectus,Black,Metal,Square,Wide (>139 mm),Full Rim,56 mm,16 mm,Women,Blue Light Glasses,Yes,140 mm,149,,,,,,,,,,
Spectus ROSALIE Blue Light - Titanium,https://eyewa.com/ae-en/spectus-rosalie-blue-light-000203-0000.html,59760,yes,399,Glossy,,Clear,Spectus,Gray,Titanium,Cat Eye,Normal (132-138 mm),Full Rim,56 mm,16 mm,Women,Blue Light Glasses,Yes,134 mm,229,,,,,,,,,,
The Book Club JUST PICTURE,https://eyewa.com/ae-en/the-book-club-just-picture-tbc202310500.html,58377,yes,239,Glossy,,Clear,The Book Club,Gray,Plastic,Square,Wide (>139 mm),Full Rim,47 mm,22 mm,Women,Blue Light Glasses,No,143 mm,149,,,,,,,,,,
The Book Club THE IRON THE STITCH,https://eyewa.com/ae-en/the-book-club-the-iron-the-stitch-tbc202311400.html,61377,yes,299,Glossy,,Clear,The Book Club,Gold,Plastic,Round,Wide (>139 mm),Full Rim,52 mm,19 mm,Women,Blue Light Glasses,No,,179,,,,,,,,,,
The Book Club TWELVE HUNGRY BENS,https://eyewa.com/ae-en/the-book-club-twelve-hungry-bens-tbc192314900.html,58352,yes,239,Glossy,,Clear,The Book Club,Brown,Plastic,Rectangle,Wide (>139 mm),Full Rim,47 mm,22 mm,"Men, Women",Blue Light Glasses,No,144 mm,149,,,,,,,,,,
Babamio ARYA Blue Light- Kids Ages 5-8,https://eyewa.com/ae-en/babamio-arya-blue-light-kids-ages-5-8-000138-1109.html,59813,yes,349,Glossy,,Clear,Babamio,Red,Plastic,Rectangle,Narrow (< 131 mm),Full Rim,50 mm,13 mm,Kids,Blue Light Glasses,No,127 mm,149,,,,,,,,,,
Spectus BRAD Blue Light,https://eyewa.com/ae-en/spectus-brad-blue-light-000168-1300.html,58749,yes,299,Glossy,,Clear,Spectus,Tortoise,Acetate,Square,Wide (>139 mm),Full Rim,53 mm,18 mm,Men,Blue Light Glasses,No,140 mm,149,,,,,,,,,,
